Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result (EUR),Total (EUR),Withholding tax,Currency (Withholding tax),Charge amount (EUR),Transaction fee (EUR),Finra fee (EUR),Notes,ID,French transaction tax,Currency conversion fee (EUR)
Deposit,2021-03-26 07:04:58,,,,,,,,,613.36,,,613.36,,,"Bank Transfer",a4b5b46c-0e53-4c24-b51f-08c873186ab3,,
Market buy,2021-03-26 18:58:40,US70614W1009,PTON,"Peloton Interactive",0.5000000000,104.09,USD,1.17894,,44.15,,,,,,,EOF1236992183,,
Dividend (Ordinary),2021-03-29 11:36:44,US7475251036,QCOM,"Qualcomm",0.2461955000,0.59,USD,Not available,,0.12,0.02,USD,,,,,,,
Dividend (Ordinary),2021-03-29 15:37:14,US94106L1098,WM,"Waste Management",1.0000000000,0.52,USD,Not available,,0.44,0.06,USD,,,,,,,
Dividend (Ordinary),2021-03-29 16:36:47,US0605051046,BAC,"Bank of America",2.0000000000,0.16,USD,Not available,,0.28,0.04,USD,,,,,,,
Market buy,2021-03-30 10:49:01,IE00BJGWQN72,WCLD,"WisdomTree Cloud Computing",2.0000000000,45.09,USD,1.17363,,76.84,,,,,,,EOF1242247893,,
Market buy,2021-03-30 13:38:23,US92259F1012,VLDR,"Velodyne Lidar",5.4970000000,11.19,USD,1.17174,,52.50,,,,,,,EOF1243171416,,
Market buy,2021-03-30 14:53:09,US35953D1046,FUBO,"fuboTV",1.0000000000,22.00,USD,1.17257,,18.76,,,,,,,EOF1243209272,,
Market buy,2021-03-30 15:22:24,US0567521085,BIDU,"Baidu Class A",0.5000000000,221.44,USD,1.17258,,94.42,,,,,,,EOF1244118201,,
Limit buy,2021-03-30 18:21:47,US0378331005,AAPL,"Apple",1.0000000000,119.50,USD,1.17141,,102.01,,,,,,,EOF1244141916,,
Market buy,2021-03-30 19:57:47,US7820111000,RSI,"Rush Street Interactive",1.4850000000,15.27,USD,1.17158,,19.35,,,,,,,EOF1244154674,,
Market buy,2021-04-01 15:06:53,US6541061031,NKE,"Nike",0.4500000000,133.65,USD,1.17532,,51.17,,,,,,,EOF1250281317,,
Market buy,2021-04-01 19:14:29,US8740391003,TSM,"Taiwan Semiconductor",0.5000000000,124.66,USD,1.17684,,52.96,,,,,,,EOF1251386344,,
Market buy,2021-04-06 08:18:10,IE00BMC38736,SMGB,"VanEck Semiconductor",4.0000000000,17.54,GBP,0.85184,,82.47,,,,,,,EOF1259388893,,0.12
Market buy,2021-04-06 15:12:55,US72919P2020,PLUG,"Plug Power",0.8000000000,34.38,USD,1.18414,,23.26,,,,,,,EOF1260801090,,0.03
Dividend (Ordinary),2021-04-09 11:45:58,US9311421039,WMT,"Walmart",1.5000000000,0.50,USD,Not available,,0.62,0.08,USD,,,,,,,
Market sell,2021-04-12 14:23:46,US09075F1075,BNGO,"BioNano",15.0000000000,7.12,USD,1.19189,35.71,89.60,,,,,,,EOF1274195085,,
Market buy,2021-04-12 19:38:55,US92556H2067,PARA,"Paramount Global",1.0000000000,40.11,USD,1.19023,,33.75,,,,,,,EOF1275207720,,0.05
Limit sell,2021-04-14 08:01:16,XS2193972598,3LTS,"3x Long Tesla GraniteShares",2.0000000000,63.00,USD,1.19587,17.18,105.36,,,,,,,EOF1278449532,,
Market sell,2021-04-14 14:45:06,US11135E2037,BNL,"Broadstone Net Lease",3.0000000000,18.94,USD,1.19687,2.94,47.47,,,,,0.00,,EOF1280299806,,
Market buy,2021-04-14 19:01:29,US72919P2020,PLUG,"Plug Power",1.2000000000,28.41,USD,1.19696,,28.52,,,,,,,EOF1284025255,,0.04
